type,game_date,game_num,game_team,game_location,game_pic,game_link,game_score
footage,26-Jan-19,SENIOR NIGHT,Blue Storm All-Stars,"Rothesay Netherwood School, NB",images/GAME6.png,https://www.youtube.com/watch?v=Ky3Ikww7oV0&feature=youtu.be,-
footage,20-Jan-19,23,Thurgood Marshall Academy,"Holy Cross High School, NY",images/goth.jpg,https://www.youtube.com/watch?v=itFtTQulzic,-
footage,20-Jan-19,22,Eduprize School,"Holy Cross High School, NY",images/goth.jpg,https://www.youtube.com/watch?v=U_AZs1V_aAU,-
footage,19-Jan-19,21,Eduprize School,"Holy Cross High School, NY",images/goth.jpg,https://www.youtube.com/watch?v=NXbDqlcH1tw,-
footage,19-Jan-19,20,Broome Street Academy,"Holy Cross High School, NY",images/goth.jpg,https://www.youtube.com/watch?v=EgqS5WQJ9CE,-
footage,16-Dec-18,19,BMHS,"Fredericton High School, NB",images/GAME8.jpg,https://youtu.be/oViDZK_75Fs,WIN/ 105 - 66
footage,14-Dec-18,18,Leo Haeys,"Bliss Carmen Middle School, NB",images/GAME7.jpg,https://youtu.be/nC1pCrjglDs,WIN/ 102 - 56
footage,08-Dec-18,17,Halifax Prep,"Rothesay Netherwood School, NB",images/GAME5.png,https://youtu.be/yTfm318QmPs,WIN/ 95 - 93
footage,30-Nov-18,16,Oakville Basketball Prep,"Notre Dame High School, ON",images/GAME5.png,https://youtu.be/fgnHEpMxrWM,WIN/ 96 - 74
footage,30-Nov-18,15,EDGE SCHOOL,"Notre Dame High School, ON",images/GAME5.png,https://youtu.be/j9Byr-cwJH4,WIN/ 96 - 85
footage,29-Nov-18,14,B.E.A.S.T PREP,"Notre Dame High School, ON",images/GAME5.png,https://youtu.be/j9Byr-cwJH4,WIN/ 95 - 71
footage,28-Nov-18,13,LONDON BASKETBALL ACADEMY,"Notre Dame High School, ON",images/GAME5.png,https://youtu.be/Z30-fFhW1HQ,WIN/ 87 - 57
footage,25-Nov-18,12,Bernice MacNaughton High School,"Rothesay Netherwood School, NB",images/GAME6.png,https://youtu.be/beUIGJgv_r4,
footage,24-Nov-18,11,Charles P. Allen High School,"Rothesay Netherwood School, NB",images/GAME6.png,https://youtu.be/CHDNe9PPBW8,
footage,24-Nov-18,10,Kennebecasis Valley High School,"Rothesay Netherwood School, NB",images/GAME6.png,https://youtu.be/aL0NGIT0J8o,
footage,23-Nov-18,9,Fredericton High School,"Rothesay Netherwood School, NB",images/GAME6.png,https://youtu.be/XvY_F6yEGy0,
footage,28-Oct-18,8,Toronto Basketball Academy,"Rothesay Netherwood School, NB",images/GAME5.png,https://youtu.be/GVdhY7rac7Y,
footage,27-Oct-18,7,GTA Prep,"Rothesay Netherwood School, NB",images/GAME5.png,https://youtu.be/WaluBDbq3mE,
footage,26-Oct-18,6,Crestwood,"Rothesay Netherwood School, NB",images/GAME5.png,https://youtu.be/zIyELDnHuE0,
footage,25-Oct-18,5,B.E.A.S.T. Prep,"Rothesay Netherwood School, NB",images/GAME5.png,https://youtu.be/WCkwH_WrhuA,
footage,16-Oct-18,4,Friendly,"Rothesay Netherwood School, NB",images/GAME4.png,https://drive.google.com/drive/folders/1H2h10Y72C9UIOv7EBYAJ5nQeQbVieAqd?usp=sharing,
footage,12-Oct-18,3,Halifax Prep,"Halifax, NS",images/GAME3.png,https://drive.google.com/drive/folders/1jtT-FCcgWJEPiJe-O_xRQhbbIP2TZqG1?usp=sharing,
footage,28-Sep-18,2,Lee Academy,"Lee Academy, MA",images/GAME2.png,https://drive.google.com/drive/folders/1OU6CzHoxoOv_E1eyYx35TCZUaEQeu8pa?usp=sharing,
footage,20-Sep-18,1,Prince Edward Island,"Rothesay Netherwood School, NB",images/GAME1.png,https://drive.google.com/drive/folders/1aEbDvJ6khVaJuQRAov8ATB1j5rHlYhnQ?usp=sharing,